ppg_wave, bcg_raw
57.0,1458.0
56.75268817204301,1458.0
56.505376344086024,1469.0
56.25806451612903,1474.0
56.01075268817204,1501.0
55.763440860215056,1489.0
55.516129032258064,1480.0
55.26881720430107,1480.0
55.02150537634409,1472.0
54.774193548387096,1471.0
54.52688172043011,1476.0
54.27956989247312,1474.0
54.03225806451613,1469.0
53.78494623655914,1453.0
53.53763440860215,1443.0
53.29032258064516,1433.0
53.043010752688176,1438.0
52.795698924731184,1441.0
52.54838709677419,1440.0
52.30107526881721,1433.0
52.053763440860216,1440.5
51.80645161290323,1448.0
51.55913978494624,1457.0
51.31182795698925,1465.0
51.064516129032256,1473.0
50.81720430107527,1474.0
50.56989247311828,1480.0
50.322580645161295,1481.0
50.075268817204304,1492.0
49.82795698924731,1496.0
49.58064516129033,1495.0
49.333333333333336,1492.0
46.55555555555556,1498.0
43.77777777777778,1485.0
41.0,1477.0
38.857142857142854,1480.0
36.714285714285715,1489.0
34.57142857142857,1488.0
35.547619047619044,1479.0
36.523809523809526,1458.0
37.5,1444.0
41.57142857142857,1433.0
45.642857142857146,1422.0
49.714285714285715,1408.0
55.285714285714285,1396.0
60.85714285714286,1389.0
66.42857142857143,1387.0
72.0,1380.0
77.16666666666667,1386.0
82.33333333333333,1451.0
87.5,1543.0
88.95238095238095,1605.0
90.40476190476191,1585.0
91.85714285714286,1549.0
91.34920634920636,1521.0
90.84126984126983,1489.0
90.33333333333333,1473.0
88.79365079365078,1447.0
87.25396825396825,1413.0
85.71428571428571,1355.0
83.41071428571428,1336.0
81.10714285714286,1317.0
78.80357142857143,1277.0
76.5,1242.0
71.0,1206.0
65.5,1237.0
62.80357142857143,1291.0
60.10714285714286,1335.0
57.410714285714285,1398.5
54.714285714285715,1501.0
52.08730158730159,1596.0
49.46031746031746,1685.0
46.833333333333336,1756.0
45.07936507936508,1806.0
43.32539682539682,1873.0
41.57142857142857,1941.0
39.720238095238095,1988.0
37.86904761904762,2016.0
36.01785714285714,1999.0
34.166666666666664,1971.0
31.61111111111111,1954.0
29.055555555555554,1937.0
26.5,1894.0
24.428571428571427,1870.0
22.357142857142858,1841.0
20.285714285714285,1812.0
20.023809523809522,1813.0
19.761904761904763,1823.0
19.5,1883.0
26.333333333333332,1909.0
33.166666666666664,1904.0
40.0,1912.0
47.79166666666667,1908.0
55.583333333333336,1883.0
63.375,1836.0
71.16666666666667,1795.0
74.22222222222223,1720.0
77.27777777777777,1619.0
80.33333333333333,1522.0
78.26984126984127,1480.5
76.2063492063492,1439.0
74.14285714285714,1346.0
71.59523809523809,1156.0
69.04761904761905,1021.0
66.5,984.0
64.52380952380952,950.0
62.547619047619044,951.0
60.57142857142857,962.0
59.05357142857143,936.0
57.535714285714285,916.0
56.01785714285714,889.0
54.5,842.0
52.333333333333336,805.0
50.166666666666664,849.0
48.0,926.0
46.42857142857143,994.0
44.857142857142854,1012.0
43.285714285714285,1021.0
44.579365079365076,997.75
45.87301587301587,974.5
47.166666666666664,944.0
49.11111111111111,992.0
51.05555555555556,1096.0
53.0,1191.0
53.333333333333336,1314.0
53.666666666666664,1423.0
54.0,1511.0
53.75,1557.0
53.5,1611.0
53.25,1638.0
53.0,1661.0
53.80952380952381,1696.0
54.61904761904762,1708.0
55.42857142857143,1724.0
63.17460317460318,1725.0
70.92063492063492,1740.0
78.66666666666667,1710.0
84.11111111111111,1659.0
89.55555555555556,1545.0
95.0,1409.0
94.94444444444444,1250.0
94.88888888888889,1160.0
94.83333333333333,1089.0
93.66666666666666,1031.0
92.5,979.0
91.33333333333333,911.0
89.21428571428571,843.0
87.0952380952381,779.0
84.97619047619048,799.0
82.85714285714286,903.0
81.34920634920636,1041.0
79.84126984126983,1146.0
78.33333333333333,1186.0
79.03174603174602,1183.0
79.73015873015873,1184.0
80.42857142857143,1173.0
79.5297619047619,1179.0
78.63095238095238,1185.0
77.73214285714286,1191.0
76.83333333333333,1207.0
75.11111111111111,1225.0
73.38888888888889,1249.0
71.66666666666667,1278.0
75.3015873015873,1297.0
78.93650793650794,1306.0
82.57142857142857,1299.0
78.15873015873015,1291.0
73.74603174603175,1271.0
69.33333333333333,1237.0
50.98412698412698,1143.0
32.63492063492063,1102.0
14.285714285714286,1101.0
11.357142857142858,1146.0
8.428571428571429,1182.0
5.5,1192.0
10.791666666666668,1194.0
16.083333333333336,1203.0
21.375,1201.5
26.666666666666668,1200.0
41.301587301587304,1225.0
55.93650793650794,1255.0
70.57142857142857,1279.0
77.54761904761905,1303.0
84.52380952380952,1323.0
91.5,1321.0
91.42857142857143,1305.0
91.35714285714286,1278.0
91.28571428571429,1277.0
91.07936507936509,1270.0
90.87301587301587,1262.0
90.66666666666667,1246.0
90.75,1250.0
90.83333333333334,1252.0
90.91666666666667,1261.0
91.0,1259.0
89.9047619047619,1275.0
88.80952380952381,1284.0
87.71428571428571,1300.0
85.30952380952381,1328.0
82.9047619047619,1352.0
80.5,1386.0
79.42857142857143,1420.0
78.35714285714286,1436.0
77.28571428571429,1450.0
78.85714285714286,1448.0
80.42857142857143,1441.0
82.0,1440.0
84.61111111111111,1451.0
87.22222222222221,1464.0
89.83333333333333,1483.0
91.125,1483.0
92.41666666666666,1479.0
93.70833333333333,1473.0
95.0,1490.0
95.0,1506.0
95.0,1520.0
95.0,1524.0
94.76190476190476,1517.0
94.52380952380953,1487.0
94.28571428571429,1473.0
94.19047619047619,1458.0
94.0952380952381,1451.0
94.0,1457.0
93.66666666666667,1464.0
93.33333333333333,1473.0
93.0,1483.0
92.42857142857143,1492.0
